yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2015,LAW ,15063509,2015-03-19 14:22:47.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,899,1,1,EP02,6,97401,1M13  ,1,1
2015,LAW ,15063510,2015-03-19 14:22:56.000,,PHONE,ILLEGAL PARKING,UNFD,UNFOUNDED,5620.0,5624.0,5646,1,1,EP05,5,97402,3W73  ,1,1
2015,LAW ,15063511,2015-03-19 14:23:07.000,,PHONE,THEFT,ADVI,ADVISED,,,680,0,0,EP03,9,97401,,0,0
2015,LAW ,15063514,2015-03-19 14:24:46.000,,SELF,PERSON STOP,ADVI,ADVISED,0.0,0.0,613,1,1,EP03,6,97401,1M10  ,2,2
2015,LAW ,15063516,2015-03-19 14:25:03.000,,PHONE,CRIMINAL TRESPASS,GOA ,GONE ON ARRIVAL,3956.0,,3960,1,0,EP05,3,97402,3E56  ,1,1
2015,LAW ,15063520,2015-03-19 14:28:00.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,1275,1,1,EP02,6,97401,3E36  ,1,1
2015,LAW ,15063521,2015-03-19 14:32:39.000,,PHONE,LOCATION WANTED SUBJECT,DIS ,DISREGARD,,,342,0,0,EP06,5,97404,,0,0
2015,LAW ,15063526,2015-03-19 14:35:33.000,,PHONE,ILLEGAL CAMPING,GOA ,GONE ON ARRIVAL,62516.0,64443.0,65287,1,1,EP06,5,97404,1E67  ,2,2
2015,LAW ,15063528,2015-03-19 14:36:15.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,78,1,1,EP03,6,97401,1M10  ,1,1
2015,LAW ,15063529,2015-03-19 14:36:57.000,1504697,SELF,THEFT,REPT,REPORT TAKEN,0.0,0.0,148,1,1,EP01,P,97401,2P15  ,1,1
2015,LAW ,15063533,2015-03-19 14:39:26.000,,SELF,FOLLOW UP,ADVI,ADVISED,1.0,1.0,667,1,1,EP05,6,97402,2C82  ,1,1
2015,LAW ,15063535,2015-03-19 14:41:02.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,711,1,1,EP02,6,97401,3E29  ,1,1
2015,LAW ,15063537,2015-03-19 14:42:18.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,581,1,1,EP03,6,97401,1M11  ,1,1
2015,LAW ,15063539,2015-03-19 14:44:20.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,1528,1,1,EP03,6,97401,1M12  ,2,2
2015,LAW ,15063541,2015-03-19 14:46:14.000,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,447,1,1,EP04,6,97401,3E25  ,1,1
2015,LAW ,15063544,2015-03-19 14:48:46.000,1504709,PHONE,CHECK WELFARE,AO  ,ASSISTING OFFICER,2342.0,3996.0,11578,1,1,EP05,3,97402,3E55  ,2,2
2015,LAW ,15063545,2015-03-19 14:50:11.000,1504707,PHONE,ASSAULT,CLC ,CITED IN LIEU OF CUSTODY,1593.0,2333.0,13519,1,1,EP05,4,97402,3E29  ,1,1
2015,LAW ,15063546,2015-03-19 14:50:33.000,,PHONE,MOTOR VEH ACC NO INJURY,MVAN,MOTOR VEHICLE ACCIDENT - NO DISPATCH,,,194,0,0,EP04,1,97402,,0,0
2015,LAW ,15063547,2015-03-19 14:51:35.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,108,1,1,EP05,6,97402,3E36  ,1,1
2015,LAW ,15063549,2015-03-19 14:52:31.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,681,1,1,EP02,6,97401,1M10  ,1,1
2015,LAW ,15063552,2015-03-19 14:55:23.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,339,1,1,EP01,6,97401,1M15  ,1,1
2015,LAW ,15063553,2015-03-19 14:56:17.000,,SELF,PERSON STOP,ADVI,ADVISED,1.0,1.0,210,1,1,EP02,6,97401,3E25  ,2,2
2015,LAW ,15063557,2015-03-19 15:01:36.000,1504698,SELF,DISORDERLY SUBJECT,REPT,REPORT TAKEN,0.0,145.0,2677,1,1,EP02,P,97401,3X90  ,3,3
2015,LAW ,15063558,2015-03-19 15:04:53.000,1504699,SELF,PERSON STOP,REPT,REPORT TAKEN,0.0,0.0,2893,1,1,EP03,6,97401,3E25  ,2,2
2015,LAW ,15063559,2015-03-19 15:06:28.000,1504717,W911,HIT AND RUN,REPT,REPORT TAKEN,11739.0,12427.0,20915,1,1,EP05,4,97402,3E55  ,4,3
2015,LAW ,15063560,2015-03-19 15:06:47.000,,SELF,PERSON STOP,ASST,ASSISTED,0.0,0.0,908,1,1,EP02,6,97401,3F68  ,1,1
2015,LAW ,15063561,2015-03-19 15:08:20.000,,PHONE,SEX ABUSE,ADVI,ADVISED,2853.0,3231.0,5951,1,1,EP02,4,97401,3E25  ,1,1
2015,LAW ,15063563,2015-03-19 15:09:19.000,,PHONE,CHECK WELFARE,ASST,ASSISTED,3781.0,4944.0,8701,1,1,EP05,8,97402,CAHOOT,1,1
2015,LAW ,15063565,2015-03-19 15:09:47.000,,PHONE,DISORDERLY SUBJECT,UTL ,UNABLE TO LOCATE,2162.0,2503.0,2798,1,1,EP02,8,97401,CAHOOT,1,1
2015,LAW ,15063566,2015-03-19 15:10:38.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,515,1,1,EPUO,6,97403,1M13  ,1,1
2015,LAW ,15063571,2015-03-19 15:14:28.000,,PHONE,TRANSPORT,NOAT,NO ACTION TAKEN,61679.0,63058.0,63811,1,1,EP02,3,97401,2E22  ,1,1
2015,LAW ,15063573,2015-03-19 15:18:51.000,,PHONE,THEFT FROM VEHICLE,INFO,INFORMATION ONLY,,,176,0,0,EP02,9,97401,,0,0
2015,LAW ,15063575,2015-03-19 15:20:42.000,,SELF,LOUD NOISE,ADVI,ADVISED,0.0,0.0,2,1,1,EP06,P,97404,2P13  ,1,1
2015,LAW ,15063577,2015-03-19 15:21:17.000,,SELF,FOOT PATROL,PCHK,PATROL CHECK,0.0,0.0,3349,1,1,EP02,P,97401,4F73  ,1,1
2015,LAW ,15063581,2015-03-19 15:22:39.000,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,531.0,,537,1,0,EP05,5,97402,3E56  ,1,1
2015,LAW ,15063582,2015-03-19 15:22:56.000,1504764,SELF,FOLLOW UP,INFO,INFORMATION ONLY,0.0,0.0,1457,1,1,EP01,P,97408,2C82  ,1,1
2015,LAW ,15063584,2015-03-19 15:24:17.000,,PHONE,CRIMINAL MISCHIEF,RSLV,RESOLVED,10938.0,12111.0,12696,1,1,EP04,5,97402,3W73  ,1,1
2015,LAW ,15063586,2015-03-19 15:25:57.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,442,1,1,EP03,6,97405,1M12  ,1,1
2015,LAW ,15063587,2015-03-19 15:26:15.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,300,1,1,EP02,6,97401,1M14  ,1,1
2015,LAW ,15063588,2015-03-19 15:26:48.000,,PHONE,INFORMATION - POLICE,DIS ,DISREGARD,,,16209,0,0,EP02,8,97401,,0,0
