yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived
2014,LAW ,14198688,2014-09-01 14:31:32.000,,PHONE,CHECK WELFARE,GOA ,GONE ON ARRIVAL,17013.0,17435.0,17837,1,1,EP04,5,97405,CAHOOT,1,1
2014,LAW ,14198690,2014-09-01 14:31:45.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,771,1,1,EP05,6,97402,1E69  ,1,1
2014,LAW ,14198693,2014-09-01 14:34:32.000,,SELF,FOLLOW UP,FUP ,FOLLOW UP INVESTIGATION,0.0,918.0,1840,1,1,EP04,P,97405,2C81  ,1,1
2014,LAW ,14198694,2014-09-01 14:34:56.000,,PHONE,HARASSMENT,GOA ,GONE ON ARRIVAL,252.0,,1022,1,0,EP02,3,97401,1F66  ,3,2
2014,LAW ,14198697,2014-09-01 14:43:59.000,,SELF,TRAFFIC STOP,FI  ,FIELD INVESTIGATION,0.0,0.0,571,1,1,EP02,6,97401,3E38  ,1,1
2014,LAW ,14198699,2014-09-01 14:44:35.000,,PHONE,ASSIST PUBLIC- POLICE,ASST,ASSISTED,2904.0,3632.0,10924,1,1,EP05,5,97402,CAHOOT,1,1
2014,LAW ,14198700,2014-09-01 14:45:04.000,,PHONE,SUSPICIOUS CONDITIONS,GOA ,GONE ON ARRIVAL,1341.0,,1360,1,0,EP02,4,97401,1F64  ,1,1
2014,LAW ,14198702,2014-09-01 14:48:21.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,1.0,1.0,375,1,1,EP01,6,97401,1M15  ,1,1
2014,LAW ,14198703,2014-09-01 14:48:47.000,,W911,UNKNOWN PROBLEM,PCHK,PATROL CHECK,215.0,768.0,1719,1,1,EP01,3,97408,2E11  ,2,2
2014,LAW ,14198704,2014-09-01 14:50:47.000,,E911,INCOMPLETE CALL,DIS ,DISREGARD,,,177,0,0,EP02,3,97401,,0,0
2014,LAW ,14198706,2014-09-01 14:55:07.000,,PHONE,CHECK WELFARE,GOA ,GONE ON ARRIVAL,2174.0,2980.0,4197,1,1,EP01,3,97408,3E95  ,2,2
2014,LAW ,14198708,2014-09-01 14:56:44.000,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,346,1,1,EP05,6,97402,3V78  ,1,1
2014,LAW ,14198710,2014-09-01 14:59:28.000,,SELF,PERSON STOP,ADVI,ADVISED,0.0,0.0,505,1,1,EP02,6,97401,3E38  ,1,1
2014,LAW ,14198712,2014-09-01 15:00:26.000,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,545,1,1,LS13,6,97404,1M15  ,1,1
2014,LAW ,14198721,2014-09-01 15:05:15.000,,SELF,FOLLOW UP,RSLV,RESOLVED,1.0,,759,1,0,EP04,6,97405,2C81  ,1,1
2014,LAW ,14198722,2014-09-01 15:06:50.000,,W911,ANIMAL COMPLAINT,GOA ,GONE ON ARRIVAL,2712.0,3703.0,4762,1,1,EP05,5,97402,2C81  ,1,1
2014,LAW ,14198723,2014-09-01 15:12:31.000,,W911,ARMED SUBJECT,RSLV,RESOLVED,138.0,230.0,1920,1,1,EP05,3,97402,1E43  ,7,6
2014,LAW ,14198731,2014-09-01 15:18:18.000,,SELF,PERSON STOP,INFO,INFORMATION ONLY,0.0,0.0,460,1,1,EP04,6,97405,2C81  ,1,1
2014,LAW ,14198733,2014-09-01 15:19:16.000,,PHONE,ASSIST FIRE DEPARTMENT,ASST,ASSISTED,61.0,170.0,595,1,1,EP02,P,97401,1F66  ,2,1
2014,LAW ,14198736,2014-09-01 15:26:19.000,,SELF,FOLLOW UP,WARN,WARNING,1.0,422.0,1516,1,1,EP03,P,97405,2C81  ,1,1
2014,LAW ,14198738,2014-09-01 15:27:57.000,,PHONE,DISPUTE,DIS ,DISREGARD,,,45,0,0,EP06,3,97404,,0,0
